bird_y,bird_vertical_movement,pipe_y,pipe_dist,space_pressed
241,6.400000000000002,300,432.5,0
249,7.250000000000002,300,424.0,0
257,8.050000000000002,300,416.0,0
265,8.850000000000003,300,408.0,0
275,9.650000000000004,300,400.0,0
286,10.450000000000005,300,392.0,0
297,11.250000000000004,300,384.0,0
309,12.100000000000003,300,375.5,0
322,12.950000000000005,300,367.0,0
336,13.750000000000004,300,359.0,0
350,14.600000000000003,300,350.5,0
366,15.400000000000006,300,342.5,0
382,16.200000000000006,300,334.5,0
399,17.050000000000008,300,326.0,1
385,-14.2,300,318.0,0
371,-13.35,300,309.5,0
359,-12.55,300,301.5,0
347,-11.7,300,293.0,0
336,-10.85,300,284.5,0
326,-10.05,300,276.5,0
317,-9.2,300,268.0,0
309,-8.399999999999999,300,260.0,0
301,-7.549999999999999,300,251.5,0
294,-6.699999999999999,300,243.0,0
288,-5.9,300,235.0,0
283,-5.1,300,227.0,0
279,-4.25,300,218.5,0
276,-3.45,300,210.5,0
273,-2.6500000000000004,300,202.5,0
271,-1.8500000000000003,300,194.5,0
270,-1.0500000000000005,300,186.5,0
270,-0.2500000000000002,300,178.5,0
270,0.5499999999999998,300,170.5,0
272,1.35,300,162.5,0
274,2.15,300,154.5,0
277,3.0,300,146.0,0
281,3.8,300,138.0,0
285,4.65,300,129.5,0
291,5.45,300,121.5,0
297,6.25,300,113.5,0
304,7.05,300,105.5,0
312,7.85,300,97.5,0
321,8.7,300,89.0,0
330,9.55,300,80.5,0
341,10.4,300,72.0,1
326,-14.2,300,64.0,0
313,-13.4,300,56.0,0
300,-12.599999999999998,300,48.0,0
289,-11.749999999999998,300,39.5,0
278,-10.9,300,31.0,0
268,-10.05,300,22.5,0
258,-9.249999999999998,300,14.5,0
250,-8.399999999999999,300,6.0,0
242,-7.599999999999999,300,-2.0,0
236,-6.749999999999998,300,-10.5,0
230,-5.949999999999998,300,-18.5,0
225,-5.149999999999999,300,-26.5,0
